"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13614","New Tab: Open and validate new page","","Thu Oct 09 22:01:17 IST 2025","passed","Thu Oct 09 22:01:31 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","16026","Verify drag and drop of Angular, Mongo, and Node images","","Thu Oct 09 22:02:30 IST 2025","passed","Thu Oct 09 22:02:46 IST 2025","Automation Demo Site Tests","","",""
"","13589","Verify Account: Positive","","Thu Oct 09 22:01:17 IST 2025","passed","Thu Oct 09 22:01:31 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","10168","Pop-Up Window: Open, submit and validate","","Thu Oct 09 22:01:32 IST 2025","failed","Thu Oct 09 22:01:42 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","7800","Stars Rating Widget: Click each star and validate URL","","Thu Oct 09 22:01:33 IST 2025","passed","Thu Oct 09 22:01:40 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","16602","Verify handling of simple, confirm, and prompt alerts","","Thu Oct 09 22:02:30 IST 2025","passed","Thu Oct 09 22:02:47 IST 2025","Automation Demo Site Tests","","",""
"","12704","Multi Level Dropdown: Validate navigation and submenus","","Thu Oct 09 22:01:17 IST 2025","passed","Thu Oct 09 22:01:30 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","16497","Verify file upload and removal functionality","","Thu Oct 09 22:02:30 IST 2025","passed","Thu Oct 09 22:02:47 IST 2025","Automation Demo Site Tests","","",""
"","12692","Tags Input Box: Add tags and validate max 10","","Thu Oct 09 22:01:17 IST 2025","passed","Thu Oct 09 22:01:30 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","14854","Verify Account: Negative","","Thu Oct 09 22:01:17 IST 2025","passed","Thu Oct 09 22:01:32 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","4495","Sortable List: Stepwise sorting until all are right","","Thu Oct 09 22:01:39 IST 2025","passed","Thu Oct 09 22:01:43 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","5855","Covered Elements: Validate text and fugitive link","","Thu Oct 09 22:01:33 IST 2025","passed","Thu Oct 09 22:01:39 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","5354","Onboarding Modal: Verify welcome text and modal title","","Thu Oct 09 22:01:34 IST 2025","passed","Thu Oct 09 22:01:39 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","13022","Dynamic Table: Verify all superheroes real names","","Thu Oct 09 22:01:17 IST 2025","passed","Thu Oct 09 22:01:30 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","15322","Shadow DOM: Click Boost button and assert progress is 95%","","Thu Oct 09 22:01:33 IST 2025","passed","Thu Oct 09 22:01:48 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","31691","Right-Click Context Menu: Validate all interactions","","Thu Oct 09 22:01:39 IST 2025","broken","Thu Oct 09 22:02:11 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","6312","Nested Iframe: Click link and validate message","","Thu Oct 09 22:01:32 IST 2025","passed","Thu Oct 09 22:01:38 IST 2025","Mini Web Apps - Verify different elements on the website","","",""
"","31383","Verify that text file is generated, downloaded, and validated correctly","","Thu Oct 09 22:02:30 IST 2025","broken","Thu Oct 09 22:03:02 IST 2025","Automation Demo Site Tests","","",""
